Date,Hour,ENV ENVZ
2019-07-13,07:00:00,1.0
2019-07-13,08:00:00,82.0
2019-07-13,09:00:00,50.0
2019-07-14,07:00:00,2.0
2019-07-14,08:00:00,83.0
2019-07-14,09:00:00,74.0
2019-07-15,07:00:00,97.0
2019-07-15,08:00:00,59.0
2019-07-16,08:00:00,102.0
2019-07-16,09:00:00,30.0
2019-07-17,08:00:00,78.0
2019-07-17,09:00:00,75.0
2019-07-17,10:00:00,1.0
2019-07-17,11:00:00,11.0
2019-07-17,18:00:00,49.0
2019-07-17,19:00:00,101.0
2019-07-18,07:00:00,1.0
2019-07-18,08:00:00,100.0
2019-07-18,09:00:00,9.0
2019-07-19,07:00:00,1.0
2019-07-19,08:00:00,88.0
2019-07-19,09:00:00,34.0
2019-07-20,07:00:00,1.0
2019-07-20,08:00:00,73.0
2019-07-20,09:00:00,78.0
2019-07-21,09:00:00,83.0
2019-07-21,10:00:00,67.0
2019-07-22,08:00:00,93.0
2019-07-22,09:00:00,52.0
2019-07-22,12:00:00,93.0
2019-07-22,13:00:00,55.0
2019-07-23,08:00:00,89.0
2019-07-23,09:00:00,63.0
2019-07-24,07:00:00,1.0
2019-07-24,08:00:00,95.0
2019-07-24,09:00:00,62.0
2019-07-25,07:00:00,1.0
2019-07-25,08:00:00,104.0
2019-07-25,09:00:00,50.0
2019-07-26,07:00:00,1.0
2019-07-26,08:00:00,96.0
2019-07-26,09:00:00,59.0
2019-07-27,07:00:00,1.0
2019-07-27,08:00:00,89.0
2019-07-27,09:00:00,60.0
2019-07-28,08:00:00,87.0
2019-07-28,09:00:00,61.0
2019-07-28,12:00:00,46.0
2019-07-28,13:00:00,105.0
2019-07-29,08:00:00,91.0
2019-07-29,09:00:00,65.0
2019-07-30,08:00:00,82.0
2019-07-30,09:00:00,69.0
2019-07-31,09:00:00,95.0
2019-07-31,10:00:00,54.0
2019-08-01,07:00:00,1.0
2019-08-01,08:00:00,117.0
2019-08-01,09:00:00,35.0
2019-08-02,07:00:00,1.0
2019-08-02,08:00:00,106.0
2019-08-02,09:00:00,43.0
2019-08-03,08:00:00,102.0
2019-08-03,09:00:00,56.0
2019-08-04,07:00:00,1.0
2019-08-04,08:00:00,121.0
2019-08-04,09:00:00,35.0
2019-08-05,07:00:00,1.0
2019-08-05,08:00:00,107.0
2019-08-05,09:00:00,40.0
2019-08-06,08:00:00,74.0
2019-08-06,09:00:00,77.0
2019-08-07,07:00:00,1.0
2019-08-07,08:00:00,114.0
2019-08-07,09:00:00,35.0
2019-08-08,08:00:00,2.0
2019-08-08,09:00:00,95.0
2019-08-08,10:00:00,60.0
2019-08-09,09:00:00,1.0
2019-08-09,10:00:00,85.0
2019-08-09,11:00:00,48.0
2019-08-10,07:00:00,1.0
2019-08-10,08:00:00,113.0
2019-08-10,09:00:00,48.0
2019-08-11,07:00:00,1.0
2019-08-11,08:00:00,102.0
2019-08-11,09:00:00,51.0
2019-08-12,08:00:00,1.0
2019-08-12,09:00:00,110.0
2019-08-12,10:00:00,47.0
2019-08-13,07:00:00,1.0
2019-08-13,08:00:00,90.0
2019-08-13,09:00:00,71.0
2019-08-14,07:00:00,1.0
2019-08-14,08:00:00,108.0
2019-08-14,09:00:00,40.0
2019-08-15,08:00:00,1.0
2019-08-15,09:00:00,113.0
2019-08-15,10:00:00,36.0
2019-08-16,07:00:00,1.0
2019-08-16,08:00:00,73.0
2019-08-16,09:00:00,78.0
2019-08-17,06:00:00,1.0
2019-08-17,07:00:00,128.0
2019-08-17,08:00:00,19.0
2019-08-18,09:00:00,88.0
2019-08-18,10:00:00,52.0
2019-08-19,08:00:00,90.0
2019-08-19,09:00:00,62.0
2019-08-20,08:00:00,77.0
2019-08-20,09:00:00,75.0
2019-08-21,08:00:00,1.0
2019-08-21,09:00:00,96.0
2019-08-21,10:00:00,53.0
2019-08-22,08:00:00,1.0
2019-08-22,09:00:00,87.0
2019-08-22,10:00:00,40.0
2019-08-23,07:00:00,1.0
2019-08-23,08:00:00,84.0
2019-08-23,09:00:00,72.0
2019-08-24,08:00:00,3.0
2019-08-24,09:00:00,2.0
2019-08-24,11:00:00,1.0
2019-08-24,12:00:00,98.0
2019-08-24,13:00:00,47.0
2019-08-24,14:00:00,8.0
2019-08-25,07:00:00,1.0
2019-08-25,08:00:00,81.0
2019-08-25,09:00:00,70.0
2019-08-26,06:00:00,1.0
2019-08-26,07:00:00,89.0
2019-08-26,08:00:00,68.0
2019-08-27,07:00:00,1.0
2019-08-27,08:00:00,103.0
2019-08-27,09:00:00,35.0
2019-08-27,12:00:00,15.0
2019-08-27,13:00:00,124.0
2019-08-28,08:00:00,1.0
2019-08-28,09:00:00,76.0
2019-08-28,10:00:00,65.0
2019-08-29,08:00:00,1.0
2019-08-29,09:00:00,91.0
2019-08-29,10:00:00,46.0
2019-08-30,09:00:00,99.0
2019-08-30,10:00:00,47.0
2019-08-31,09:00:00,95.0
2019-08-31,10:00:00,63.0
2019-09-01,08:00:00,100.0
2019-09-01,09:00:00,57.0
2019-09-02,08:00:00,88.0
2019-09-02,09:00:00,66.0
2019-09-03,08:00:00,95.0
2019-09-03,09:00:00,54.0
2019-09-04,07:00:00,1.0
2019-09-04,08:00:00,102.0
2019-09-04,09:00:00,54.0
2019-09-05,07:00:00,89.0
2019-09-05,08:00:00,54.0
2019-09-06,08:00:00,1.0
2019-09-06,09:00:00,5.0
2019-09-06,11:00:00,1.0
2019-09-06,12:00:00,103.0
2019-09-06,13:00:00,43.0
2019-09-07,07:00:00,1.0
2019-09-07,08:00:00,84.0
2019-09-07,09:00:00,64.0
2019-09-08,07:00:00,1.0
2019-09-08,08:00:00,79.0
2019-09-08,09:00:00,77.0
2019-09-09,08:00:00,91.0
2019-09-09,09:00:00,56.0
2019-09-09,12:00:00,79.0
2019-09-09,13:00:00,72.0
2019-09-10,08:00:00,97.0
2019-09-10,09:00:00,58.0
2019-09-11,07:00:00,1.0
2019-09-11,08:00:00,91.0
2019-09-11,09:00:00,64.0
2019-09-12,09:00:00,97.0
2019-09-12,10:00:00,39.0
2019-09-13,07:00:00,4.0
2019-09-13,08:00:00,66.0
2019-09-13,09:00:00,59.0
2019-09-14,07:00:00,1.0
2019-09-14,08:00:00,91.0
2019-09-14,09:00:00,63.0
2019-09-15,07:00:00,1.0
2019-09-15,08:00:00,104.0
2019-09-15,09:00:00,52.0
2019-09-16,07:00:00,1.0
2019-09-16,08:00:00,97.0
2019-09-16,09:00:00,58.0
2019-09-17,06:00:00,76.0
2019-09-17,07:00:00,79.0
2019-09-18,09:00:00,76.0
2019-09-18,10:00:00,76.0
2019-09-19,08:00:00,98.0
2019-09-19,09:00:00,53.0
2019-09-20,08:00:00,105.0
2019-09-20,09:00:00,43.0
2019-09-21,08:00:00,1.0
2019-09-21,09:00:00,91.0
2019-09-21,10:00:00,56.0
2019-09-22,07:00:00,1.0
2019-09-22,08:00:00,88.0
2019-09-22,09:00:00,67.0
2019-09-23,07:00:00,1.0
2019-09-23,08:00:00,65.0
2019-09-23,09:00:00,89.0
2019-09-24,08:00:00,1.0
2019-09-24,09:00:00,86.0
2019-09-24,10:00:00,66.0
2019-09-25,07:00:00,1.0
2019-09-25,08:00:00,76.0
2019-09-25,09:00:00,68.0
2019-09-26,07:00:00,1.0
2019-09-26,08:00:00,100.0
2019-09-26,09:00:00,45.0
2019-09-27,07:00:00,1.0
2019-09-27,08:00:00,102.0
2019-09-27,09:00:00,53.0
2019-09-28,06:00:00,1.0
2019-09-28,07:00:00,110.0
2019-09-28,08:00:00,44.0
2019-09-29,08:00:00,93.0
2019-09-29,09:00:00,63.0
2019-09-30,08:00:00,87.0
2019-09-30,09:00:00,68.0
2019-09-30,16:00:00,130.0
2019-09-30,17:00:00,19.0
2019-10-01,08:00:00,106.0
2019-10-01,09:00:00,47.0
2019-10-02,08:00:00,89.0
2019-10-02,09:00:00,63.0
2019-10-03,09:00:00,91.0
2019-10-03,10:00:00,54.0
2019-10-04,08:00:00,94.0
2019-10-04,09:00:00,35.0
2019-10-05,08:00:00,90.0
2019-10-05,09:00:00,62.0
2019-10-06,08:00:00,78.0
2019-10-06,09:00:00,71.0
2019-10-07,07:00:00,1.0
2019-10-07,08:00:00,73.0
2019-10-07,09:00:00,78.0
2019-10-08,08:00:00,96.0
2019-10-08,09:00:00,59.0
2019-10-09,08:00:00,54.0
2019-10-09,09:00:00,13.0
2019-10-10,08:00:00,106.0
2019-10-10,09:00:00,48.0
2019-10-10,13:00:00,17.0
2019-10-10,14:00:00,149.0
2019-10-10,15:00:00,8.0
2019-10-11,06:00:00,1.0
2019-10-11,07:00:00,74.0
2019-10-11,08:00:00,79.0
2019-10-12,08:00:00,1.0
2019-10-12,09:00:00,85.0
2019-10-12,10:00:00,64.0
2019-10-13,08:00:00,1.0
2019-10-13,09:00:00,84.0
2019-10-13,10:00:00,69.0
2019-10-14,07:00:00,1.0
2019-10-14,08:00:00,68.0
2019-10-14,09:00:00,87.0
2019-10-15,08:00:00,97.0
2019-10-15,09:00:00,62.0
2019-10-16,07:00:00,96.0
2019-10-16,08:00:00,33.0
2019-10-17,08:00:00,88.0
2019-10-17,09:00:00,68.0
2019-10-18,08:00:00,83.0
2019-10-18,09:00:00,31.0
2019-10-18,11:00:00,2.0
2019-10-18,12:00:00,62.0
2019-10-18,13:00:00,47.0
2019-10-19,07:00:00,1.0
