Date,Hour,GST ASAA-GST
2022-09-02,17:00:00,53
2022-09-03,16:00:00,68
2022-09-04,16:00:00,45
2022-09-04,17:00:00,27
2022-09-05,16:00:00,60
2022-09-06,16:00:00,28
2023-06-01,17:00:00,32
2023-06-02,16:00:00,41
2023-06-03,17:00:00,46
2023-06-04,17:00:00,30
2023-06-05,17:00:00,113
2023-06-06,17:00:00,34
2023-06-07,17:00:00,32
2023-06-08,17:00:00,42
2023-06-09,18:00:00,54
2023-06-10,17:00:00,67
2023-06-11,18:00:00,61
2023-06-12,18:00:00,69
2023-06-13,17:00:00,37
2023-06-14,17:00:00,22
2023-06-15,17:00:00,56
2023-06-16,17:00:00,80
2023-06-17,17:00:00,66
2023-06-18,17:00:00,44
2023-06-19,17:00:00,144
2023-06-20,17:00:00,53
2023-06-21,17:00:00,69
2023-06-22,17:00:00,53
2023-06-23,17:00:00,94
2023-06-24,17:00:00,106
2023-06-25,17:00:00,169
2023-06-26,17:00:00,88
2023-06-27,17:00:00,42
2023-06-28,17:00:00,49
2023-06-29,17:00:00,53
2023-06-30,17:00:00,125
2023-07-01,18:00:00,91
2023-07-02,17:00:00,89
2023-07-03,17:00:00,61
2023-07-04,17:00:00,52
2023-07-05,17:00:00,109
2023-07-06,17:00:00,61
2023-07-07,17:00:00,125
2023-07-08,18:00:00,109
2023-07-09,17:00:00,82
2023-07-10,17:00:00,61
2023-07-11,17:00:00,52
2023-07-12,17:00:00,65
2023-07-13,18:00:00,85
2023-07-14,17:00:00,140
2023-07-15,17:00:00,104
2023-07-16,17:00:00,84
2023-07-17,17:00:00,87
2023-07-18,17:00:00,40
2023-07-19,17:00:00,56
2023-07-20,17:00:00,33
2023-07-21,17:00:00,109
2023-07-22,17:00:00,93
2023-07-23,17:00:00,114
2023-07-24,17:00:00,53
2023-07-25,17:00:00,56
2023-07-26,17:00:00,62
2023-07-27,17:00:00,67
2023-07-28,17:00:00,117
2023-07-29,17:00:00,107
2023-07-30,17:00:00,68
2023-07-31,17:00:00,87
2023-08-01,17:00:00,73
2023-08-02,17:00:00,78
2023-08-03,17:00:00,61
2023-08-04,17:00:00,108
2023-08-05,17:00:00,122
2023-08-06,17:00:00,90
2023-08-07,17:00:00,79
2023-08-08,17:00:00,38
2023-08-09,17:00:00,41
2023-08-10,18:00:00,78
2023-08-11,17:00:00,110
2023-08-12,17:00:00,129
2023-08-13,17:00:00,92
2023-08-14,17:00:00,114
2024-06-01,16:00:00,22
2024-06-01,17:00:00,30
2024-06-02,16:00:00,31
2024-06-02,17:00:00,11
2024-06-03,17:00:00,15
2024-06-04,16:00:00,28
2024-06-04,17:00:00,3
2024-06-05,16:00:00,22
2024-06-05,17:00:00,2
2024-06-06,16:00:00,26
2024-06-06,17:00:00,15
2024-06-07,16:00:00,52
2024-06-07,17:00:00,4
2024-06-08,16:00:00,38
2024-06-08,17:00:00,10
2024-06-09,16:00:00,28
2024-06-09,17:00:00,4
2024-06-10,16:00:00,15
2024-06-10,17:00:00,42
2024-06-11,16:00:00,25
2024-06-11,17:00:00,10
2024-06-12,16:00:00,23
2024-06-12,17:00:00,30
2024-06-13,16:00:00,23
2024-06-13,17:00:00,52
2024-06-14,16:00:00,56
2024-06-14,17:00:00,5
2024-06-15,16:00:00,41
2024-06-15,17:00:00,78
2024-06-16,16:00:00,62
2024-06-17,14:00:00,42
2024-06-17,15:00:00,10
2024-06-18,16:00:00,25
2024-06-18,17:00:00,22
2024-06-19,16:00:00,18
2024-06-19,17:00:00,24
2024-06-20,16:00:00,52
2024-06-20,17:00:00,1
2024-06-21,16:00:00,52
2024-06-21,17:00:00,62
2024-06-22,16:00:00,28
2024-06-22,17:00:00,77
